constraint,threshold_kg_per_m,design_class,feasible,best_other_objective_kg_per_m
l_max_at_most,79.999,uniform,True,79.999
l_max_at_most,79.999,geometry,False,
l_max_at_most,79.999,surface,True,79.999
l_max_at_most,79.999,joint,True,79.999
l_max_at_most,159.675379,uniform,True,79.999
l_max_at_most,159.675379,geometry,True,122.351575
l_max_at_most,159.675379,surface,True,79.999
l_max_at_most,159.675379,joint,True,79.999
l_max_at_most,160.225268,uniform,True,79.999
l_max_at_most,160.225268,geometry,True,121.440848
l_max_at_most,160.225268,surface,True,79.999
l_max_at_most,160.225268,joint,True,79.999
l_max_at_most,164.906724,uniform,True,79.999
l_max_at_most,164.906724,geometry,True,112.007946
l_max_at_most,164.906724,surface,True,79.999
l_max_at_most,164.906724,joint,True,79.999
l_max_at_most,170.486727,uniform,True,79.999
l_max_at_most,170.486727,geometry,True,111.604524
l_max_at_most,170.486727,surface,True,79.999
l_max_at_most,170.486727,joint,True,79.999
l_max_at_most,172.731155,uniform,True,79.999
l_max_at_most,172.731155,geometry,True,105.857752
l_max_at_most,172.731155,surface,True,79.999
l_max_at_most,172.731155,joint,True,79.999
l_max_at_most,175.322442,uniform,True,79.999
l_max_at_most,175.322442,geometry,True,105.133821
l_max_at_most,175.322442,surface,True,79.999
l_max_at_most,175.322442,joint,True,79.999
l_max_at_most,2941.908296,uniform,True,79.999
l_max_at_most,2941.908296,geometry,True,105.133821
l_max_at_most,2941.908296,surface,True,79.999
l_max_at_most,2941.908296,joint,True,43.332792
l_max_at_most,3210.635971,uniform,True,79.999
l_max_at_most,3210.635971,geometry,True,105.133821
l_max_at_most,3210.635971,surface,True,79.999
l_max_at_most,3210.635971,joint,True,39.9995
l_max_at_most,4546.213987,uniform,True,79.999
l_max_at_most,4546.213987,geometry,True,105.133821
l_max_at_most,4546.213987,surface,True,79.999
l_max_at_most,4546.213987,joint,True,26.449593
l_max_at_most,4546.255476,uniform,True,79.999
l_max_at_most,4546.255476,geometry,True,105.133821
l_max_at_most,4546.255476,surface,True,79.999
l_max_at_most,4546.255476,joint,True,23.333042
l_max_at_most,4579.685006,uniform,True,79.999
l_max_at_most,4579.685006,geometry,True,97.993464
l_max_at_most,4579.685006,surface,True,79.999
l_max_at_most,4579.685006,joint,True,23.333042
l_max_at_most,4587.51281,uniform,True,79.999
l_max_at_most,4587.51281,geometry,True,97.535125
l_max_at_most,4587.51281,surface,True,79.999
l_max_at_most,4587.51281,joint,True,23.333042
l_max_at_most,4592.057502,uniform,True,79.999
l_max_at_most,4592.057502,geometry,True,97.355691
l_max_at_most,4592.057502,surface,True,79.999
l_max_at_most,4592.057502,joint,True,23.333042
l_max_at_most,4593.2852,uniform,True,79.999
l_max_at_most,4593.2852,geometry,True,87.462033
l_max_at_most,4593.2852,surface,True,79.999
l_max_at_most,4593.2852,joint,True,23.333042
l_max_at_most,4833.040494,uniform,True,79.999
l_max_at_most,4833.040494,geometry,True,82.595882
l_max_at_most,4833.040494,surface,True,79.999
l_max_at_most,4833.040494,joint,True,23.333042
l_max_at_most,4848.158506,uniform,True,79.999
l_max_at_most,4848.158506,geometry,True,80.238402
l_max_at_most,4848.158506,surface,True,79.999
l_max_at_most,4848.158506,joint,True,23.333042
l_max_at_most,5082.200296,uniform,True,79.999
l_max_at_most,5082.200296,geometry,True,80.238402
l_max_at_most,5082.200296,surface,True,79.999
l_max_at_most,5082.200296,joint,True,16.666458
l_max_at_most,5617.95481,uniform,True,79.999
l_max_at_most,5617.95481,geometry,True,80.238402
l_max_at_most,5617.95481,surface,True,79.999
l_max_at_most,5617.95481,joint,True,13.270188
l_max_at_most,6416.968119,uniform,True,0.0
