dimension,level,factor,baseline_l_max_kg_per_m,baseline_s_max_kg_per_m,design,l_max_kg_per_m,s_max_kg_per_m,mean_ssci,mean_input_snow_kg_per_m,mean_total_shed_kg_per_m,mean_event_count,mean_event_mass_kg_per_m,median_event_mass_kg_per_m,mean_kinetic_energy_proxy_j_per_m,mean_time_above_intervention_h,mean_manual_triggers,mean_residual_mass_kg_per_m,maximum_snow_depth_m,max_abs_mass_balance_error_kg_per_m,slope_total_variation_deg,surface_total_variation,slope_transition_count,surface_transition_count
static_friction,low,0.8,4547.3733359904145,12.279773014894408,joint_knee,4189.967521191756,4179.575240131122,0.15211644986711334,3689.756662439008,3085.14204395205,251.66666666666666,11.482624868992806,4.107674602777165,79144.36806526531,130.66666666666666,0.6666666666666666,574.189072596181,80.38896232868794,1.8616219676914625e-12,66.75959684444908,0.2209606663181078,23,23
static_friction,high,1.2,4547.3733359904145,12.279773014894408,joint_knee,4814.12232930835,16.746496446825706,0.006839940620796558,3689.756662439008,946.6225402939068,242.66666666666666,3.788865301523306,3.419842796103619,23325.04541819017,236.33333333333334,1.0,2697.5047861210523,81.17581317080916,1.8189894035458565e-12,66.75959684444908,0.33144099947716155,23,23
kinetic_friction,low,0.8,4547.3733359904145,12.279773014894408,joint_knee,4547.3733359904145,12.279773014894408,0.006621403230321232,3689.756662439008,1068.7342207446106,248.0,4.132776690118281,3.7177208306303093,28734.312952336655,235.5,1.0,2583.603977422736,81.25898336432535,9.094947017729282e-13,66.75959684444908,0.2762008328976347,23,23
kinetic_friction,high,1.2,4547.3733359904145,12.279773014894408,joint_knee,4547.3733359904145,12.279773014894408,0.006621403230321232,3689.756662439008,1068.7342207446106,248.0,4.132776690118281,3.7177208306303093,24010.464628290767,235.5,1.0,2583.603977422736,81.25898336432535,9.094947017729282e-13,66.75959684444908,0.2762008328976347,23,23
adhesion,low,0.8,4547.3733359904145,12.279773014894408,joint_knee,4545.823647749749,11.666520834270663,0.006596035535567909,3689.756662439008,1068.766991895509,256.3333333333333,3.9980041131441078,3.53818753307292,26320.127848775563,235.5,1.0,2586.8617277663657,81.24897923019724,9.094947017729282e-13,66.75959684444908,0.2762008328976347,23,23
adhesion,high,1.2,4547.3733359904145,12.279773014894408,joint_knee,4547.635881724571,13.330339878825006,0.006715570991623363,3689.756662439008,1068.610187401449,242.33333333333334,4.200180596905187,3.812890693975014,26313.74636518121,235.33333333333334,1.0,2576.7057547494537,81.2226636257506,9.094947017729282e-13,66.75959684444908,0.2762008328976347,23,23
fresh_snow_density,low,0.8,4547.3733359904145,12.279773014894408,joint_knee,4547.3733359904145,12.279773014894408,0.006621403230321232,3689.756662439008,1068.7342207446106,248.0,4.132776690118281,3.7177208306303093,26318.027912927064,235.5,1.0,2583.603977422736,94.83790608527482,9.094947017729282e-13,66.75959684444908,0.2762008328976347,23,23
fresh_snow_density,high,1.2,4547.3733359904145,12.279773014894408,joint_knee,4547.3733359904145,12.279773014894408,0.006621403230321232,3689.756662439008,1068.7342207446106,248.0,4.132776690118281,3.7177208306303093,26318.027912927064,235.5,1.0,2583.603977422736,71.293233046992,9.094947017729282e-13,66.75959684444908,0.2762008328976347,23,23
aging_rate,low,0.8,4547.3733359904145,12.279773014894408,joint_knee,4547.3733359904145,12.279773014894408,0.006621525428248406,3689.756662439008,1068.7276962319452,247.66666666666666,4.137694596413694,3.7451492477341035,26322.430178695024,235.5,1.0,2583.603977422736,81.25898336432535,1.8189894035458565e-12,66.75959684444908,0.2762008328976347,23,23
aging_rate,high,1.2,4547.3733359904145,12.279773014894408,joint_knee,4547.3733359904145,12.279773014894408,0.006641891804010078,3689.756662439008,1068.7357438538827,247.33333333333334,4.141238724142302,3.7177208306303093,26314.055896325637,235.5,1.0,2583.603977422736,81.25898336432535,9.094947017729282e-13,66.75959684444908,0.2762008328976347,23,23
