l_max_kg_per_m,s_max_kg_per_m,design_class
79.999,79.999,uniform
6416.968119,0.0,uniform
159.675379,122.351575,geometry
160.225268,121.440848,geometry
164.906724,112.007946,geometry
170.486727,111.604524,geometry
172.731155,105.857752,geometry
175.322442,105.133821,geometry
4579.685006,97.993464,geometry
4587.51281,97.535125,geometry
4592.057502,97.355691,geometry
4593.2852,87.462033,geometry
4593.2852,89.903534,geometry
4833.040494,82.595882,geometry
4848.158506,80.238402,geometry
4848.158506,81.010938,geometry
6416.968119,0.0,geometry
79.999,79.999,surface
6416.968119,0.0,surface
79.999,79.999,joint
2941.908296,43.332792,joint
3210.635971,39.9995,joint
4546.213987,26.449593,joint
4546.255476,23.333042,joint
5082.200296,16.666458,joint
5617.95481,13.270188,joint
6416.968119,0.0,joint
