cell,continuous_slope_deg,discrete_slope_deg,continuous_mu_static,continuous_adhesion_pa,discrete_material_class,discrete_mu_static,discrete_adhesion_pa
1,36.96025042786112,38.0,0.2130869399771397,20.936131565981,smooth_metal,0.12,25.0
2,37.498764220911674,38.0,0.2175948842944294,22.32675789561408,smooth_metal,0.12,25.0
3,38.03727801396223,38.0,0.22210282861171912,23.71738422524716,smooth_metal,0.12,25.0
4,38.575791807012784,38.0,0.2266107729290088,25.10801055488024,smooth_metal,0.12,25.0
5,39.11430560006333,40.0,0.2311187172462985,26.49863688451332,smooth_metal,0.12,25.0
6,39.65281939311389,40.0,0.23562666156358822,27.8892632141464,smooth_metal,0.12,25.0
7,40.19133318616444,40.0,0.24013460588087793,29.279889543779483,smooth_metal,0.12,25.0
8,40.729846979215,40.0,0.2446425501981676,30.670515873412562,smooth_metal,0.12,25.0
9,39.53244045259039,33.0,0.2440211083412307,30.23316453780892,smooth_metal,0.12,25.0
10,34.86319328661547,33.0,0.23314089413584058,26.139857871731852,smooth_metal,0.12,25.0
11,30.193946120640543,33.0,0.22226067993045046,22.046551205654776,smooth_metal,0.12,25.0
12,25.524698954665617,33.0,0.2113804657250603,17.9532445395777,smooth_metal,0.12,25.0
13,20.855451788690694,21.0,0.20050025151967016,13.85993787350063,smooth_metal,0.12,25.0
14,16.186204622715774,21.0,0.18962003731428004,9.766631207423558,smooth_metal,0.12,25.0
15,11.51695745674084,21.0,0.1787398231088899,5.673324541346478,smooth_metal,0.12,25.0
16,6.847710290765917,9.0,0.16785960890349977,1.5800178752694052,smooth_metal,0.12,25.0
17,7.957753640655828,9.0,0.1791449594828975,0.3056835045786871,smooth_metal,0.12,25.0
18,11.957442248478142,9.0,0.20151309245468907,0.44083528158114044,smooth_metal,0.12,25.0
19,15.957130856300454,20.0,0.22388122542648065,0.5759870585835938,smooth_metal,0.12,25.0
20,19.956819464122773,20.0,0.24624935839827228,0.7111388355860475,smooth_metal,0.12,25.0
21,23.956508071945088,20.0,0.26861749137006385,0.8462906125885008,smooth_metal,0.12,25.0
22,27.9561966797674,32.0,0.2909856243418555,0.9814423895909541,smooth_metal,0.12,25.0
23,31.955885287589723,32.0,0.3133537573136471,1.1165941665934076,smooth_metal,0.12,25.0
24,35.95557389541204,32.0,0.3357218902854387,1.251745943595861,smooth_metal,0.12,25.0
